bus_number,stop_sequence,stop_name
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,43,AH Ansari Chowk Or New Nagpada (Madanpura) #2
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,44,Dr M Iqbal Chowk Or J J Hospital (Nagpada) #3
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,45,Johar Chowk Or Bhendi Bazar (Kumbharwada) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,46,Vijay Vallabh Chowk (Bhuleshwar) #3
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,47,Bhuleshwar (Kalbadevi) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,48,Swadeshi Market (Kalbadevi) #2
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,49,Kalbadevi (Wagh wadi) #1
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,50,Vasudeo B Phadke Chowk (Kalbadevi) #4
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,51,Chhatrapati Shivaji Maharaj Terminus (Fort) #2
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,52,Khadi Bhandar (Fort) #2
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,53,Hutatma Chowk or Siddharth College (Fort)
14 - Pratiksha Nagar Depot to Dr Shyamaprasad Mukherji Chowk,54,Hutatma Chowk Or Mumbai Vidhyapeth (Fort) #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,1,Dr Shyamaprasad Mukherji Chowk (Fort) #3
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,2,Hutatma Chowk (Fort) #4
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,3,Hutatma Chowk or Siddharth College
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,4,Khadi Bhandar (Fort) #1
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,5,Chhatrapati Shivaji Maharaj Terminus (Fort) #12
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,6,Vasudeo B Phadke Chowk (Marine Lines) #4
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,7,Vasudeo B Phadke Chowk (Kalbadevi) #3
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,8,Kalbadevi (Wagh wadi) #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,9,Swadeshi Market (Kalbadevi) #1
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,10,Bhuleshwar (Kalbadevi) #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,11,Vijay Vallabh Chowk (Bhuleshwar) #1
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,12,Johar Chowk Or Bhendi Bazar (Kumbharwada) #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,13,Dr M Iqbal Chowk Or J J Hospital (Nagpada) #1
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,14,AH Ansari Chowk Or New Nagpada (Madanpura) #1
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,15,AH Ansari Chowk (Byculla West) #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,16,Byculla Railway Station West (Chinchpokli) #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,17,S Bridge Or Mandlik Chowk (Chinchpokli) #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,18,Com Gulabrao Ganacharya Chowk (Jacob Circle) #1
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,19,N M Joshi Marg Police Station (Lower Parel) #1
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,20,Bawla Masjid (Lower Parel) #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,21,Bharatmata Cinema or Mahadeo Palav Marg (Parel) #1
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,22,Bharatmata Cinema (Parel) #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,23,Mahatma Gandhi Hospital (Parel) #3
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,24,K E M Hospital Or Nurses Quarters (Parel) #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,25,Wadia Maternity Hospital (Parel) #3
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,26,Tata Hospital (Parel) #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,27,Bhoiwada Or Mane Master Chowk (Wadala) #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,28,BEST Colony (Wadala) #1
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,29,TB Hospital (Parel) #3
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,30,Dyaneshwar Nagar (Sewri) #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,31,Kidwai Nagar (Wadala) #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,32,Madhav Nagar (Wadala) #3
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,33,Azad Nagar (Wadala) #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,34,Wadala Station Or P And T Quarters #3
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,35,Wadala Station West #4
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,36,Wadala Church #4
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,37,Wadala Church #3
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,38,Wadala Flyover Bridge 2 #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,39,Wadala Flyover Bridge 1 (Antop Hill) #1
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,40,Indian Oil Depot Or Barkat Ali Dargah
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,41,Antop Hill Post Office
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,42,Antop Hill (Sector 1) #4
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,43,CGS Dispensary (Antop Hill) #1
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,44,Kane Nagar (Antop Hill) #4
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,45,Antop Hill Police Station #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,46,Antop Hill Church #1
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,47,Sardar Nagar Number 4 (Sion) #3
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,48,Karmaveer Dada Saheb Gayakwad Nagar (Sion) #3
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,49,Samaj Mandir Hall Or Sardar Nagar (Sion) #2
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,50,Samaj Mandir Hall Or Sardar Nagar (Sion) #1
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,51,Pratiksha Nagar Number 1 Or Samaj Mandir
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,52,Transit Camp Dispensary (Sion) #1
14 - Dr Shyamaprasad Mukherji Chowk to Pratiksha Nagar Depot,53,BEST Receiving Centre Or Sunder Vihar (Sion) #2
15 - Pratiksha Nagar Depot to Mantralaya,1,Pratiksha Nagar Depot (Sion) #1
15 - Pratiksha Nagar Depot to Mantralaya,2,BEST Receiving Centre Or Sunder Vihar (Sion) #1
15 - Pratiksha Nagar Depot to Mantralaya,3,Transit Camp Dispensary (Sion) #2
15 - Pratiksha Nagar Depot to Mantralaya,4,Samaj Mandir Hall Or Pratiksha Nagar 1
15 - Pratiksha Nagar Depot to Mantralaya,5,Samaj Mandir Hall
15 - Pratiksha Nagar Depot to Mantralaya,6,Rawli Camp (Sion) #1
15 - Pratiksha Nagar Depot to Mantralaya,7,Sardar Nagar Number 4 (Sion) #1
15 - Pratiksha Nagar Depot to Mantralaya,8,Antop Hill Church #2
15 - Pratiksha Nagar Depot to Mantralaya,9,Antop Hill Police Station #1
15 - Pratiksha Nagar Depot to Mantralaya,10,Antop Hill Police Station #4
15 - Pratiksha Nagar Depot to Mantralaya,11,Kane Nagar (Antop Hill) #3
15 - Pratiksha Nagar Depot to Mantralaya,12,CGS Dispensary (Antop Hill) #3
15 - Pratiksha Nagar Depot to Mantralaya,13,Antop Hill (Sector 1) #1
15 - Pratiksha Nagar Depot to Mantralaya,14,Indian Hume Pipe Company (Antop Hill) #2
15 - Pratiksha Nagar Depot to Mantralaya,15,B P T Colony Wadala East (Antop Hill) #3
15 - Pratiksha Nagar Depot to Mantralaya,16,Wadala Flyover Bridge 1 (Antop Hill) #2
15 - Pratiksha Nagar Depot to Mantralaya,17,B P T Colony Wadala East (Antop Hill) #2
15 - Pratiksha Nagar Depot to Mantralaya,18,Wadala Flyover Bridge 2 #1
15 - Pratiksha Nagar Depot to Mantralaya,19,Wadala Church #5
15 - Pratiksha Nagar Depot to Mantralaya,20,Ruia College (Dadar) #1
15 - Pratiksha Nagar Depot to Mantralaya,21,Five Garden (Dadar) #2
15 - Pratiksha Nagar Depot to Mantralaya,22,Khodadad Circle Or Bhave Chowk (Dadar) #1
15 - Pratiksha Nagar Depot to Mantralaya,23,Dadar Fire Brigade
15 - Pratiksha Nagar Depot to Mantralaya,24,Shindewadi (Dadar) #2
15 - Pratiksha Nagar Depot to Mantralaya,25,Hindmata Cinema (Dadar East) #2
15 - Pratiksha Nagar Depot to Mantralaya,26,Madkebuwa Chowk (Parel) #3
15 - Pratiksha Nagar Depot to Mantralaya,27,Parel Railway Workshop #1
15 - Pratiksha Nagar Depot to Mantralaya,28,Bharatmata Cinema (Parel) #5
15 - Pratiksha Nagar Depot to Mantralaya,29,Sant Jagnade Chowk (Parel) #3
15 - Pratiksha Nagar Depot to Mantralaya,30,Shantaram Pujare Chowk (Parel) #2
15 - Pratiksha Nagar Depot to Mantralaya,31,Jaihind Cinema (Byculla) #5
15 - Pratiksha Nagar Depot to Mantralaya,32,Jijamata Udyan (Byculla) #1
15 - Pratiksha Nagar Depot to Mantralaya,33,Byculla Station East (Chinchpokli) #3
15 - Pratiksha Nagar Depot to Mantralaya,34,AH Ansari Chowk (Madanpura) #2
15 - Pratiksha Nagar Depot to Mantralaya,35,AH Ansari Chowk Or New Nagpada (Madanpura) #2
15 - Pratiksha Nagar Depot to Mantralaya,36,Dr M Iqbal Chowk Or J J Hospital (Nagpada) #3
15 - Pratiksha Nagar Depot to Mantralaya,37,Johar Chowk Or Bhendi Bazar (Kumbharwada) #1
15 - Pratiksha Nagar Depot to Mantralaya,38,Vijay Vallabh Chowk (Bhuleshwar) #3
15 - Pratiksha Nagar Depot to Mantralaya,39,Bhuleshwar (Kalbadevi) #1
15 - Pratiksha Nagar Depot to Mantralaya,40,Swadeshi Market (Kalbadevi) #2
15 - Pratiksha Nagar Depot to Mantralaya,41,Kalbadevi (Wagh wadi) #1
15 - Pratiksha Nagar Depot to Mantralaya,42,Vasudeo B Phadke Chowk (Marine Lines) #5
15 - Pratiksha Nagar Depot to Mantralaya,43,Mumbai Gymkhana (Marine Lines) #2
15 - Pratiksha Nagar Depot to Mantralaya,44,Hutatma Chowk O C S
15 - Pratiksha Nagar Depot to Mantralaya,45,Ahilyabai Holkar Chowk (Churchgate) #9
15 - Pratiksha Nagar Depot to Mantralaya,46,Kishinchand Chellaram College (Fort) #1
15 - Mantralaya to Pratiksha Nagar Depot,1,Mantralaya (Churchgate) #6
15 - Mantralaya to Pratiksha Nagar Depot,2,Dr Ambedkar Statue Or Ahilyabai Holkar Chowk
15 - Mantralaya to Pratiksha Nagar Depot,3,Hutatma Chowk Or Mumbai Vidhyapeth (Fort) #1
15 - Mantralaya to Pratiksha Nagar Depot,4,Hutatma Chowk (Fort) #4
15 - Mantralaya to Pratiksha Nagar Depot,5,Mumbai Gymkhana (Marine Lines) #1
15 - Mantralaya to Pratiksha Nagar Depot,6,Vasudeo B Phadke Chowk (Kalbadevi) #3
15 - Mantralaya to Pratiksha Nagar Depot,7,Kalbadevi (Wagh wadi) #2
15 - Mantralaya to Pratiksha Nagar Depot,8,Swadeshi Market (Kalbadevi) #1
15 - Mantralaya to Pratiksha Nagar Depot,9,Bhuleshwar (Kalbadevi) #2
15 - Mantralaya to Pratiksha Nagar Depot,10,Vijay Vallabh Chowk (Bhuleshwar) #1
15 - Mantralaya to Pratiksha Nagar Depot,11,Johar Chowk Or Bhendi Bazar (Kumbharwada) #2
15 - Mantralaya to Pratiksha Nagar Depot,12,Dr M Iqbal Chowk Or J J Hospital (Nagpada) #1
15 - Mantralaya to Pratiksha Nagar Depot,13,AH Ansari Chowk Or New Nagpada (Madanpura) #1
15 - Mantralaya to Pratiksha Nagar Depot,14,Byculla Station East (Chinchpokli) #5
15 - Mantralaya to Pratiksha Nagar Depot,15,Jijamata Udyan (Byculla) #3
15 - Mantralaya to Pratiksha Nagar Depot,16,Jaihind Cinema (Byculla) #4
15 - Mantralaya to Pratiksha Nagar Depot,17,Shantaram Pujare Chowk (Doctor Compound) #3
15 - Mantralaya to Pratiksha Nagar Depot,18,Sant Jagnade Chowk (Parel) #2
15 - Mantralaya to Pratiksha Nagar Depot,19,Bharatmata Cinema (Parel) #4
15 - Mantralaya to Pratiksha Nagar Depot,20,Parel Railway Workshop #2
15 - Mantralaya to Pratiksha Nagar Depot,21,Madkebuwa Chowk (Parel) #1
15 - Mantralaya to Pratiksha Nagar Depot,22,Hindmata Cinema (Dadar East) #3
15 - Mantralaya to Pratiksha Nagar Depot,23,Shindewadi (Dadar) #1
15 - Mantralaya to Pratiksha Nagar Depot,24,Chitra Cinema (Dadar) #2
15 - Mantralaya to Pratiksha Nagar Depot,25,Khodadad Circle (Dadar) #1
15 - Mantralaya to Pratiksha Nagar Depot,26,Five Garden (Dadar) #1
15 - Mantralaya to Pratiksha Nagar Depot,27,Wadala Church #3
15 - Mantralaya to Pratiksha Nagar Depot,28,Ruia College (Dadar) #2
15 - Mantralaya to Pratiksha Nagar Depot,29,Wadala Flyover Bridge 2 #2
15 - Mantralaya to Pratiksha Nagar Depot,30,Wadala Flyover Bridge 1 (Antop Hill) #1
15 - Mantralaya to Pratiksha Nagar Depot,31,Indian Oil Depot Or Barkat Ali Dargah
15 - Mantralaya to Pratiksha Nagar Depot,32,Antop Hill Post Office
15 - Mantralaya to Pratiksha Nagar Depot,33,Antop Hill (Sector 1) #4
15 - Mantralaya to Pratiksha Nagar Depot,34,CGS Dispensary (Antop Hill) #1
15 - Mantralaya to Pratiksha Nagar Depot,35,Kane Nagar (Antop Hill) #4
15 - Mantralaya to Pratiksha Nagar Depot,36,Antop Hill Police Station #2
15 - Mantralaya to Pratiksha Nagar Depot,37,Antop Hill Church #1
15 - Mantralaya to Pratiksha Nagar Depot,38,Sardar Nagar Number 4 (Sion) #3
15 - Mantralaya to Pratiksha Nagar Depot,39,Karmaveer Dada Saheb Gayakwad Nagar (Sion) #3
15 - Mantralaya to Pratiksha Nagar Depot,40,Samaj Mandir Hall Or Sardar Nagar (Sion) #2
15 - Mantralaya to Pratiksha Nagar Depot,41,Samaj Mandir Hall Or Sardar Nagar (Sion) #1
15 - Mantralaya to Pratiksha Nagar Depot,42,Pratiksha Nagar Number 1 Or Samaj Mandir
15 - Mantralaya to Pratiksha Nagar Depot,43,Transit Camp Dispensary (Sion) #1
15 - Mantralaya to Pratiksha Nagar Depot,44,BEST Receiving Centre Or Sunder Vihar (Sion) #2
151 - J Mehta Marg to Wadala Depot,1,J Mehta Marg (Malabar Hill) #2
151 - J Mehta Marg to Wadala Depot,2,Darya Mahal (Malabar Hill) #2
151 - J Mehta Marg to Wadala Depot,3,Petit Hall (Malabar Hill) #2
151 - J Mehta Marg to Wadala Depot,4,Priyadarshani Park
151 - J Mehta Marg to Wadala Depot,5,Petrol Pump Or Maheshwari Mansion (Malabar Hill) #1
151 - J Mehta Marg to Wadala Depot,6,Mukesh Chowk (Malabar Hill) #2
151 - J Mehta Marg to Wadala Depot,7,Mukesh Chowk Umar Park Or Tata Garden (Cumballa Hill) #1
151 - J Mehta Marg to Wadala Depot,8,Parsi General Hospital (Cumballa Hill) #1
151 - J Mehta Marg to Wadala Depot,9,Breach Candy Hospital (Cumballa Hill) #1
151 - J Mehta Marg to Wadala Depot,10,Mafatlal Park (Cumballa Hill) #2
151 - J Mehta Marg to Wadala Depot,11,Mahalaxmi Temple (Cumballa Hill) #1
151 - J Mehta Marg to Wadala Depot,12,Vatsalabai Desai Chowk (Mahalakshmi) #3
151 - J Mehta Marg to Wadala Depot,13,Lala Lajpatrai College (Mahalakshmi) #2
151 - J Mehta Marg to Wadala Depot,14,Nehru Planetarium (Worli) #1
151 - J Mehta Marg to Wadala Depot,15,Jarimari Mata Mandir Or S T Office (Worli) #1
151 - J Mehta Marg to Wadala Depot,16,Acharya Atre Chowk (Worli) #6
151 - J Mehta Marg to Wadala Depot,17,Gandhi Maidan (Worli) #2
151 - J Mehta Marg to Wadala Depot,18,Doordarshan (Worli) #3
151 - J Mehta Marg to Wadala Depot,19,Com P K Kurne Chowk (Worli) #3
151 - J Mehta Marg to Wadala Depot,20,Passport Office (Worli) #1
151 - J Mehta Marg to Wadala Depot,21,Gammon House
151 - J Mehta Marg to Wadala Depot,22,Prabhadevi or Ravindra Natya Mandir
151 - J Mehta Marg to Wadala Depot,23,Khedgalli Or Siddhivinayak Mandir (Prabhadevi) #1
151 - J Mehta Marg to Wadala Depot,24,Dadar Police Station #2
151 - J Mehta Marg to Wadala Depot,25,Shardashram Vidyamandir (Dadar) #2
151 - J Mehta Marg to Wadala Depot,26,Kabutarkhana (Dadar) #1
151 - J Mehta Marg to Wadala Depot,27,Veer Kotwal Udyan Plaza (Dadar) #3
151 - J Mehta Marg to Wadala Depot,28,Khodadad Circle Dadar Workshop #2
151 - Wadala Depot to J Mehta Marg,1,Wadala Depot #2
151 - Wadala Depot to J Mehta Marg,2,Khodadad Circle Dadar Workshop #3
151 - Wadala Depot to J Mehta Marg,3,Veer Kotwal Udyan Plaza (Dadar West) #2
151 - Wadala Depot to J Mehta Marg,4,Hanuman Mandir D Silva School (Dadar West) #1
151 - Wadala Depot to J Mehta Marg,5,Kabutarkhana (Dadar) #2
151 - Wadala Depot to J Mehta Marg,6,Shardashram Vidyamandir (Dadar) #1
151 - Wadala Depot to J Mehta Marg,7,Dadar Police Station #1
151 - Wadala Depot to J Mehta Marg,8,Khedgalli Or Siddhivinayak Mandir (Prabhadevi) #2
151 - Wadala Depot to J Mehta Marg,9,Prabhadevi (near Reliance Digital) #2
151 - Wadala Depot to J Mehta Marg,10,Babasaheb Worlikar Chowk (Prabhadevi) #5
151 - Wadala Depot to J Mehta Marg,11,Dr Ravindra Kulkarni Chowk Or Sasmira (Worli) #1
151 - Wadala Depot to J Mehta Marg,12,Doordarshan (Worli) #2
151 - Wadala Depot to J Mehta Marg,13,Com P K Kurne Chowk (Worli) #1
151 - Wadala Depot to J Mehta Marg,14,Gandhi Maidan (Worli) #1
151 - Wadala Depot to J Mehta Marg,15,Acharya Atre Chowk (Worli) #7
151 - Wadala Depot to J Mehta Marg,16,Jarimari Mata Mandir Or S T Office (Worli) #2
151 - Wadala Depot to J Mehta Marg,17,Nehru Planetarium (Worli) #2
151 - Wadala Depot to J Mehta Marg,18,Nehru Planetarium N S C I
151 - Wadala Depot to J Mehta Marg,19,Lala Lajpatrai College (Mahalakshmi) #1
151 - Wadala Depot to J Mehta Marg,20,Vatsalabai Desai Chowk (Mahalakshmi) #6
151 - Wadala Depot to J Mehta Marg,21,Mahalaxmi Temple (Cumballa Hill) #2
151 - Wadala Depot to J Mehta Marg,22,Mafatlal Park (Cumballa Hill) #1
151 - Wadala Depot to J Mehta Marg,23,Breach Candy Hospital (Cumballa Hill) #2
151 - Wadala Depot to J Mehta Marg,24,Parsi General Hospital (Cumballa Hill) #2
151 - Wadala Depot to J Mehta Marg,25,Mukesh Chowk Umar Park Or Tata Garden (Cumballa Hill) #2
151 - Wadala Depot to J Mehta Marg,26,Mukesh Chowk (Malabar Hill) #1
151 - Wadala Depot to J Mehta Marg,27,Petrol Pump Or Maheshwari Mansion (Malabar Hill) #2
151 - Wadala Depot to J Mehta Marg,28,Priyadarshini Park
151 - Wadala Depot to J Mehta Marg,29,Petit Hall (Malabar Hill) #1
151 - Wadala Depot to J Mehta Marg,30,Darya Mahal (Malabar Hill) #1
151 - Wadala Depot to J Mehta Marg,31,Narayan Dabholkar Marg
151 - Wadala Depot to J Mehta Marg,32,Prem Nagar (Malabar Hill)
153 - Nair Hospital to Byculla Railway Station West,1,Nair Hospital (Agripada) #2
153 - Nair Hospital to Byculla Railway Station West,2,Agripada Police Station (RTO Colony) #1
153 - Nair Hospital to Byculla Railway Station West,3,Sant Gadge Maharaj Chowk (Lower Parel) #1
153 - Nair Hospital to Byculla Railway Station West,4,Garlic Company (Agripada) #1
153 - Nair Hospital to Byculla Railway Station West,5,Sunder Galli (Byculla West) #1
153 - Byculla Railway Station West to Nair Hospital,1,Simplex Mill (Jacob Circle) #2
153 - Byculla Railway Station West to Nair Hospital,2,Byculla Railway Station West (Chinchpokli) #2
153 - Byculla Railway Station West to Nair Hospital,3,Sant Gadge Maharaj Chowk (Lower Parel) #3
153 - Byculla Railway Station West to Nair Hospital,4,Agripada Police Station (RTO Colony) #2
165 - Kasturba Gandhi Chowk to Wadala Depot,1,Kasturba Gandhi Chowk (Bhuleshwar) #1
165 - Kasturba Gandhi Chowk to Wadala Depot,2,Gulal Wadi Yadnik Chowk (Bhuleshwar) #1
165 - Kasturba Gandhi Chowk to Wadala Depot,3,Gol Mandir (Kumbharwada) #1
165 - Kasturba Gandhi Chowk to Wadala Depot,4,Two Tanks (Kamathipura) #1
165 - Kasturba Gandhi Chowk to Wadala Depot,5,Hasrat Mohani Chowk (Madanpura) #2
165 - Kasturba Gandhi Chowk to Wadala Depot,6,Mumbai Central Depot (Kamathipura) #4
165 - Kasturba Gandhi Chowk to Wadala Depot,7,AH Ansari Chowk Salvation Army (Madanpura) #2
165 - Kasturba Gandhi Chowk to Wadala Depot,8,New Agripada (Byculla West) #1
165 - Kasturba Gandhi Chowk to Wadala Depot,9,Sant Gadge Maharaj Chowk (RTO Colony)
165 - Kasturba Gandhi Chowk to Wadala Depot,10,Mahalakshmi Railway Station #3
165 - Kasturba Gandhi Chowk to Wadala Depot,11,Famous Studio (Mahalakshmi) #1
165 - Kasturba Gandhi Chowk to Wadala Depot,12,Ambika Mill Bus Depot or Haji Usman Seth Rakhangi Chowk (Mahalakshmi) #1
165 - Kasturba Gandhi Chowk to Wadala Depot,13,Jijamata Nagar (Mahalakshmi) #1
165 - Kasturba Gandhi Chowk to Wadala Depot,14,BMC Office Yangraha (Worli) #2
165 - Kasturba Gandhi Chowk to Wadala Depot,15,Acharya Atre Chowk (Worli) #6
165 - Kasturba Gandhi Chowk to Wadala Depot,16,Gandhi Maidan (Worli) #2
165 - Kasturba Gandhi Chowk to Wadala Depot,17,Com P K Kurne Chowk (Worli) #3
165 - Kasturba Gandhi Chowk to Wadala Depot,18,Doordarshan (Worli) #3
165 - Kasturba Gandhi Chowk to Wadala Depot,19,Passport Office (Worli) #1
165 - Kasturba Gandhi Chowk to Wadala Depot,20,Prabhadevi
165 - Kasturba Gandhi Chowk to Wadala Depot,21,Siddhivinayak Mandir (Prabhadevi) #1
165 - Kasturba Gandhi Chowk to Wadala Depot,22,Agar Bazar (Dadar) #2
165 - Kasturba Gandhi Chowk to Wadala Depot,23,Prabodhankar Thackeray Chowk (Dadar West) #3
165 - Kasturba Gandhi Chowk to Wadala Depot,24,Hanuman Mandir D Silva School (Dadar West) #2
165 - Kasturba Gandhi Chowk to Wadala Depot,25,Khodadad Circle Dadar Workshop #2
165 - Kasturba Gandhi Chowk to Wadala Depot,26,Veer Kotwal Udyan Plaza (Dadar) #3
165 - Wadala Depot to Kasturba Gandhi Chowk,1,Veer Kotwal Udyan Plaza (Dadar West) #2
165 - Wadala Depot to Kasturba Gandhi Chowk,2,Khodadad Circle Dadar Workshop #3
165 - Wadala Depot to Kasturba Gandhi Chowk,3,Wadala Depot #2
165 - Wadala Depot to Kasturba Gandhi Chowk,4,Hanuman Mandir D Silva School (Dadar West) #1
165 - Wadala Depot to Kasturba Gandhi Chowk,5,Prabodhankar Thackeray Chowk (Dadar West) #1
165 - Wadala Depot to Kasturba Gandhi Chowk,6,Agar Bazar (Dadar) #1
165 - Wadala Depot to Kasturba Gandhi Chowk,7,Siddhivinayak Mandir (Prabhadevi) #3
165 - Wadala Depot to Kasturba Gandhi Chowk,8,Prabhadevi (near Reliance Digital) #1
165 - Wadala Depot to Kasturba Gandhi Chowk,9,Babasaheb Worlikar Chowk (Prabhadevi) #5
165 - Wadala Depot to Kasturba Gandhi Chowk,10,Passport Office (Worli) #2
165 - Wadala Depot to Kasturba Gandhi Chowk,11,Doordarshan (Worli) #2
165 - Wadala Depot to Kasturba Gandhi Chowk,12,Com P K Kurne Chowk (Worli) #1
165 - Wadala Depot to Kasturba Gandhi Chowk,13,Gandhi Maidan (Worli) #1
