bus_number,stop_sequence,stop_name
13 - Mahatma Gandhi Hospital to Wadala Station West,3,K E M Hospital (Parel) #2
13 - Mahatma Gandhi Hospital to Wadala Station West,4,Tata Hospital (Parel) #2
13 - Mahatma Gandhi Hospital to Wadala Station West,5,Bhoiwada Or Mane Master Chowk (Wadala) #2
13 - Mahatma Gandhi Hospital to Wadala Station West,6,BEST Colony (Wadala) #1
13 - Mahatma Gandhi Hospital to Wadala Station West,7,TB Hospital (Parel) #3
13 - Mahatma Gandhi Hospital to Wadala Station West,8,Dyaneshwar Nagar (Sewri) #2
13 - Mahatma Gandhi Hospital to Wadala Station West,9,Kidwai Nagar (Wadala) #2
13 - Mahatma Gandhi Hospital to Wadala Station West,10,Madhav Nagar (Wadala) #3
13 - Mahatma Gandhi Hospital to Wadala Station West,11,Azad Nagar (Wadala) #2
13 - Mahatma Gandhi Hospital to Wadala Station West,12,Wadala Station Or P And T Quarters #3
13 - Mahatma Gandhi Hospital to Wadala Station West,13,Wadala Station West #1
139 - Geeta Nagar to Chhatrapati Shivaji Maharaj Terminus,1,M T Park (Colaba) #1
139 - Geeta Nagar to Chhatrapati Shivaji Maharaj Terminus,2,Dhobi Ghat Navy Nagar (Colaba) #1
139 - Geeta Nagar to Chhatrapati Shivaji Maharaj Terminus,3,Geeta Nagar (Colaba) #1
139 - Geeta Nagar to Chhatrapati Shivaji Maharaj Terminus,4,Ganeshmurti Nagar Police Station (Colaba) #1
139 - Geeta Nagar to Chhatrapati Shivaji Maharaj Terminus,5,Afghan Church (Colaba) #1
139 - Geeta Nagar to Chhatrapati Shivaji Maharaj Terminus,6,Colaba Bus Station Post Office #2
139 - Geeta Nagar to Chhatrapati Shivaji Maharaj Terminus,7,Colaba Bus Station (Cuffe Parade) #1
139 - Geeta Nagar to Chhatrapati Shivaji Maharaj Terminus,8,Wood House
139 - Geeta Nagar to Chhatrapati Shivaji Maharaj Terminus,9,Sasoon Dock Colaba Fire Station #3
139 - Geeta Nagar to Chhatrapati Shivaji Maharaj Terminus,10,Strand Cinema (Colaba) #1
